id,make,model,year,price,features,stock,image,description
V00011,Honda,Accord,2020,165411,"4WD,LED Headlights,Wireless Charging,Leather Seats,Parking Sensors,360 Camera,Ventilated Seats,Bluetooth,AWD,Rear Camera",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3038004.jpg,The 2020 Honda Accord is a family-friendly vehicle perfect for off-road adventures.
V00012,Mitsubishi,Model 8,2022,60664,"Wireless Charging,Parking Sensors,Lane Assist,V6 Engine,Keyless Entry,Bluetooth,Push Start,AWD,Ventilated Seats,Android Auto,Cruise Control,Blind Spot Monitor",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9095093.jpg,The 2022 Mitsubishi Model 8 is a reliable vehicle perfect for city driving.
V00013,Mercedes,GLE,2025,442395,"Cruise Control,Automatic Parking,Wireless Charging,Premium Sound,AWD,7 Seater,Blind Spot Monitor,Ambient Lighting",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6413157.jpg,The 2025 Mercedes GLE is a family-friendly vehicle perfect for long trips.
V00014,Tesla,Model X,2023,254581,"Eco Mode,Power Tailgate,Electric,Android Auto,Panoramic Roof,Navigation,Bluetooth,Ambient Lighting,Sport Mode,Push Start",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3848171.jpg,The 2023 Tesla Model X is a reliable vehicle perfect for off-road adventures.
V00015,Volkswagen,Model 3,2024,232939,"Android Auto,Push Start,Parking Sensors,Wireless Charging,Eco Mode,Adaptive Cruise,Navigation,Power Tailgate,Cruise Control,Leather Seats,4WD,Sunroof,Premium Sound",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6564823.jpg,The 2024 Volkswagen Model 3 is a family-friendly vehicle perfect for long trips.
V00016,Kia,Model 1,2020,138932,"AWD,Premium Sound,Wireless Charging,Sport Mode,7 Seater,360 Camera,Blind Spot Monitor,Power Tailgate",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6176882.jpg,The 2020 Kia Model 1 is a reliable vehicle perfect for off-road adventures.
V00017,Subaru,Model 5,2021,85982,"Blind Spot Monitor,AWD,4WD,Keyless Entry,V8 Engine,Sport Mode,Hybrid,Lane Assist,Power Tailgate,Turbo,Bluetooth,Ambient Lighting",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7168809.jpg,The 2021 Subaru Model 5 is a luxury vehicle perfect for off-road adventures.
V00018,Mercedes,E-Class,2024,180507,"V6 Engine,Leather Seats,Sport Mode,Eco Mode,Blind Spot Monitor,Air Suspension,AWD,Lane Assist,Sunroof,Android Auto",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1711315.jpg,The 2024 Mercedes E-Class is a premium vehicle perfect for long trips.
V00019,Tesla,Model X,2025,417086,"Hybrid,Parking Sensors,7 Seater,Eco Mode,Automatic Parking,Lane Assist,Air Suspension,Bluetooth,4WD,Power Tailgate,Adaptive Cruise,Premium Sound",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5589791.jpg,The 2025 Tesla Model X is a premium vehicle perfect for off-road adventures.
V00020,Mitsubishi,Model 6,2023,84652,"Parking Sensors,AWD,Bluetooth,Rear Camera,Adaptive Cruise",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6808299.jpg,The 2023 Mitsubishi Model 6 is a premium vehicle perfect for daily commute.
V00021,Audi,A8,2024,584555,"Keyless Entry,Sunroof,Lane Assist,Navigation,Electric",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3374218.jpg,The 2024 Audi A8 is a family-friendly vehicle perfect for city driving.
V00022,Honda,Pilot,2024,145752,"Rear Camera,Premium Sound,Blind Spot Monitor,Sport Mode,Sunroof,Electric,360 Camera,Automatic Parking,Heated Seats,Cruise Control,V8 Engine,4WD,Android Auto,AWD,Bluetooth",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7568486.jpg,The 2024 Honda Pilot is a sporty vehicle perfect for off-road adventures.
V00023,Porsche,Model 7,2024,328782,"Turbo,Premium Sound,Blind Spot Monitor,Push Start,Panoramic Roof,V6 Engine,Eco Mode,Parking Sensors,Power Tailgate,Sunroof,Sport Mode,Android Auto,Wireless Charging,Navigation",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4476141.jpg,The 2024 Porsche Model 7 is a reliable vehicle perfect for long trips.
V00024,Volkswagen,Model 8,2025,172795,"Ventilated Seats,7 Seater,Ambient Lighting,Electric,Android Auto,4WD",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9368356.jpg,The 2025 Volkswagen Model 8 is a premium vehicle perfect for daily commute.
V00025,Hyundai,Model 8,2023,122069,"Eco Mode,Sport Mode,Panoramic Roof,Lane Assist,Apple CarPlay,Premium Sound,Ventilated Seats,V8 Engine,7 Seater",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9045834.jpg,The 2023 Hyundai Model 8 is a sporty vehicle perfect for long trips.
V00026,Lexus,Model 9,2025,247788,"Lane Assist,Apple CarPlay,Keyless Entry,AWD,Sunroof,Adaptive Cruise,Premium Sound,V6 Engine,Push Start,360 Camera,Panoramic Roof",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8389647.jpg,The 2025 Lexus Model 9 is a luxury vehicle perfect for off-road adventures.
V00027,BMW,5 Series,2025,368976,"Power Tailgate,360 Camera,Adaptive Cruise,Heated Seats,Lane Assist",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8505584.jpg,The 2025 BMW 5 Series is a reliable vehicle perfect for off-road adventures.
V00028,Hyundai,Model 2,2024,66669,"AWD,V6 Engine,Leather Seats,Blind Spot Monitor,Android Auto,Ambient Lighting,Automatic Parking",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7304412.jpg,The 2024 Hyundai Model 2 is a sporty vehicle perfect for daily commute.
V00029,Hyundai,Model 10,2025,259178,"Ventilated Seats,Lane Assist,Hybrid,LED Headlights,4WD,Android Auto",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5023093.jpg,The 2025 Hyundai Model 10 is a family-friendly vehicle perfect for long trips.
V00030,Chevrolet,Model 1,2024,229071,"Eco Mode,Hybrid,Parking Sensors,Adaptive Cruise,Blind Spot Monitor,AWD,7 Seater",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5872246.jpg,The 2024 Chevrolet Model 1 is a sporty vehicle perfect for off-road adventures.
V00031,Mitsubishi,Model 6,2020,191535,"Panoramic Roof,360 Camera,AWD,Push Start,Cruise Control,Premium Sound,V8 Engine,Parking Sensors,Air Suspension,Navigation,Apple CarPlay,Sport Mode,Power Tailgate,Bluetooth",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9854498.jpg,The 2020 Mitsubishi Model 6 is a family-friendly vehicle perfect for long trips.
V00032,Lexus,Model 5,2023,118684,"Rear Camera,Eco Mode,Lane Assist,Sport Mode,AWD,Electric,Turbo,V8 Engine,360 Camera,V6 Engine,Leather Seats,Push Start,Parking Sensors,Keyless Entry",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5021783.jpg,The 2023 Lexus Model 5 is a premium vehicle perfect for city driving.
V00033,Audi,A4,2024,386756,"Push Start,V8 Engine,Automatic Parking,Sunroof,4WD,Adaptive Cruise,Leather Seats,Parking Sensors,Apple CarPlay,Panoramic Roof,Keyless Entry",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9179456.jpg,The 2024 Audi A4 is a family-friendly vehicle perfect for long trips.
V00034,Kia,Model 9,2025,174941,"Air Suspension,Push Start,Sunroof,Bluetooth,Power Tailgate,AWD",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1404987.jpg,The 2025 Kia Model 9 is a family-friendly vehicle perfect for long trips.
V00035,Audi,A6,2024,495825,"Android Auto,Panoramic Roof,Apple CarPlay,V6 Engine,Navigation,Sport Mode,Automatic Parking",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3227110.jpg,The 2024 Audi A6 is a sporty vehicle perfect for daily commute.
V00036,Toyota,Fortuner,2022,82330,"7 Seater,Android Auto,Apple CarPlay,Sport Mode,V8 Engine",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8948348.jpg,The 2022 Toyota Fortuner is a luxury vehicle perfect for long trips.
V00037,Lexus,Model 8,2023,164406,"Premium Sound,360 Camera,Power Tailgate,7 Seater,Heated Seats,Push Start,Navigation,Apple CarPlay,Eco Mode,Electric,Blind Spot Monitor,Keyless Entry,V6 Engine,Cruise Control",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8819655.jpg,The 2023 Lexus Model 8 is a sporty vehicle perfect for long trips.
V00038,Mercedes,GLE,2024,408450,"Lane Assist,Parking Sensors,Sunroof,Keyless Entry,Automatic Parking,Sport Mode,Leather Seats,V8 Engine,Hybrid,Android Auto,Navigation,4WD,Heated Seats",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2794566.jpg,The 2024 Mercedes GLE is a luxury vehicle perfect for city driving.
V00039,Chevrolet,Model 6,2022,289789,"Power Tailgate,Bluetooth,Push Start,Cruise Control,Ambient Lighting,Electric,Blind Spot Monitor,Navigation,Ventilated Seats",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6941605.jpg,The 2022 Chevrolet Model 6 is a luxury vehicle perfect for long trips.
V00040,Mercedes,GLC,2023,255280,"V6 Engine,Sunroof,Adaptive Cruise,Electric,Ventilated Seats,Panoramic Roof,LED Headlights,Heated Seats,Air Suspension,Android Auto,V8 Engine,Bluetooth,4WD,Navigation",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1937672.jpg,The 2023 Mercedes GLC is a reliable vehicle perfect for off-road adventures.
V00041,Audi,A4,2021,387348,"Sport Mode,Ventilated Seats,Lane Assist,Wireless Charging,LED Headlights,Cruise Control,Eco Mode,Blind Spot Monitor,Heated Seats,Adaptive Cruise,Air Suspension,Power Tailgate,AWD",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8231353.jpg,The 2021 Audi A4 is a reliable vehicle perfect for off-road adventures.
V00042,Hyundai,Model 4,2024,225727,"Premium Sound,V6 Engine,Android Auto,Wireless Charging,Adaptive Cruise,Navigation,Apple CarPlay,Hybrid",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4272432.jpg,The 2024 Hyundai Model 4 is a sporty vehicle perfect for off-road adventures.
V00043,Tesla,Model X,2024,367699,"AWD,Parking Sensors,V8 Engine,Android Auto,Sport Mode,Panoramic Roof,Keyless Entry,Heated Seats,Bluetooth,Premium Sound,Adaptive Cruise,Air Suspension,Eco Mode,LED Headlights",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5354715.jpg,The 2024 Tesla Model X is a premium vehicle perfect for daily commute.
V00044,Subaru,Model 2,2023,221141,"Blind Spot Monitor,Power Tailgate,Lane Assist,Hybrid,Air Suspension",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4064031.jpg,The 2023 Subaru Model 2 is a family-friendly vehicle perfect for daily commute.
V00045,Kia,Model 5,2022,217691,"Eco Mode,Electric,Ambient Lighting,Apple CarPlay,Panoramic Roof,Lane Assist",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3465606.jpg,The 2022 Kia Model 5 is a family-friendly vehicle perfect for daily commute.
V00046,Nissan,Altima,2022,98111,"Ambient Lighting,Cruise Control,Sport Mode,Navigation,LED Headlights,Android Auto,V8 Engine,Automatic Parking,Parking Sensors",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3022699.jpg,The 2022 Nissan Altima is a family-friendly vehicle perfect for long trips.
V00047,Porsche,Model 3,2022,496069,"4WD,Keyless Entry,Sport Mode,Ambient Lighting,Automatic Parking,Wireless Charging,Cruise Control",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4635226.jpg,The 2022 Porsche Model 3 is a reliable vehicle perfect for city driving.
V00048,Toyota,Fortuner,2025,77942,"7 Seater,Eco Mode,Electric,AWD,Parking Sensors,LED Headlights,Lane Assist,360 Camera,4WD",4,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3249476.jpg,The 2025 Toyota Fortuner is a sporty vehicle perfect for daily commute.
V00049,Chevrolet,Model 4,2020,171433,"Panoramic Roof,Cruise Control,Adaptive Cruise,Blind Spot Monitor,Eco Mode,Turbo,Android Auto,Power Tailgate,V8 Engine,Electric",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6979217.jpg,The 2020 Chevrolet Model 4 is a sporty vehicle perfect for daily commute.
V00050,Volvo,Model 1,2024,90638,"Wireless Charging,Leather Seats,Lane Assist,Push Start,Sport Mode",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6269600.jpg,The 2024 Volvo Model 1 is a reliable vehicle perfect for long trips.
V00051,Land Rover,Defender,2024,193739,"V8 Engine,Keyless Entry,Sport Mode,Apple CarPlay,Lane Assist,Panoramic Roof,Adaptive Cruise,Sunroof,LED Headlights,Power Tailgate,Wireless Charging,Push Start",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8904552.jpg,The 2024 Land Rover Defender is a reliable vehicle perfect for off-road adventures.
V00052,Mitsubishi,Model 2,2020,100358,"Premium Sound,Sunroof,Panoramic Roof,Automatic Parking,Parking Sensors,Bluetooth,V8 Engine,Blind Spot Monitor,Eco Mode,Cruise Control,Rear Camera,4WD,Navigation,360 Camera",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4989961.jpg,The 2020 Mitsubishi Model 2 is a sporty vehicle perfect for daily commute.
V00053,Subaru,Model 7,2023,261681,"Electric,Premium Sound,4WD,Apple CarPlay,7 Seater,Android Auto,LED Headlights,AWD,Navigation,Panoramic Roof,Blind Spot Monitor,Adaptive Cruise",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7156060.jpg,The 2023 Subaru Model 7 is a reliable vehicle perfect for off-road adventures.
V00054,Volkswagen,Model 8,2024,295764,"Push Start,Lane Assist,Adaptive Cruise,Ambient Lighting,Navigation,Power Tailgate,Android Auto,Wireless Charging,Panoramic Roof,360 Camera,Turbo,Ventilated Seats,Air Suspension,Cruise Control",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6663624.jpg,The 2024 Volkswagen Model 8 is a premium vehicle perfect for off-road adventures.
V00055,Hyundai,Model 2,2022,81054,"Ambient Lighting,Bluetooth,Electric,Automatic Parking,Parking Sensors,Keyless Entry,V8 Engine,Sport Mode,Wireless Charging,Android Auto,Hybrid,LED Headlights,Cruise Control",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8991281.jpg,The 2022 Hyundai Model 2 is a premium vehicle perfect for off-road adventures.
V00056,Subaru,Model 6,2024,132871,"Keyless Entry,Power Tailgate,Electric,Sport Mode,Automatic Parking,Panoramic Roof,Sunroof,Android Auto",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5288769.jpg,The 2024 Subaru Model 6 is a family-friendly vehicle perfect for off-road adventures.
V00057,Hyundai,Model 4,2023,291713,"360 Camera,Panoramic Roof,Lane Assist,Heated Seats,Blind Spot Monitor",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5867352.jpg,The 2023 Hyundai Model 4 is a reliable vehicle perfect for off-road adventures.
V00058,Volvo,Model 10,2022,146313,"Eco Mode,Hybrid,Ventilated Seats,Turbo,Lane Assist,Apple CarPlay,Wireless Charging,Leather Seats,Android Auto,Cruise Control,Panoramic Roof",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3910050.jpg,The 2022 Volvo Model 10 is a family-friendly vehicle perfect for city driving.
V00059,Lexus,Model 1,2025,138198,"Adaptive Cruise,7 Seater,Heated Seats,V8 Engine,360 Camera,V6 Engine,Bluetooth,Electric,Ambient Lighting,Turbo,LED Headlights",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8524186.jpg,The 2025 Lexus Model 1 is a premium vehicle perfect for city driving.
V00060,Honda,Odyssey,2024,76313,"V6 Engine,Parking Sensors,4WD,Power Tailgate,Android Auto,7 Seater,Automatic Parking,Ambient Lighting,Hybrid,Apple CarPlay",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5446711.jpg,The 2024 Honda Odyssey is a reliable vehicle perfect for long trips.
V00061,Ford,Explorer,2024,290992,"Lane Assist,Leather Seats,Rear Camera,Adaptive Cruise,V8 Engine,Blind Spot Monitor,AWD,Electric",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5987886.jpg,The 2024 Ford Explorer is a reliable vehicle perfect for daily commute.
V00062,Kia,Model 1,2022,228139,"Wireless Charging,360 Camera,Adaptive Cruise,Sunroof,Rear Camera,LED Headlights,Bluetooth,Keyless Entry,Eco Mode",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5536915.jpg,The 2022 Kia Model 1 is a premium vehicle perfect for long trips.
V00063,Nissan,X-Trail,2023,97614,"Cruise Control,Premium Sound,Panoramic Roof,Power Tailgate,360 Camera,AWD,Blind Spot Monitor,Hybrid,Parking Sensors,Turbo,Air Suspension,Ambient Lighting,Leather Seats",8,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3236885.jpg,The 2023 Nissan X-Trail is a reliable vehicle perfect for city driving.
V00064,Mazda,Model 6,2020,200266,"Apple CarPlay,Hybrid,4WD,Wireless Charging,Electric,Parking Sensors",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1493243.jpg,The 2020 Mazda Model 6 is a sporty vehicle perfect for city driving.
V00065,BMW,X5,2025,186145,"7 Seater,Rear Camera,Premium Sound,Bluetooth,LED Headlights,Power Tailgate,Android Auto,360 Camera,Parking Sensors,AWD,Apple CarPlay,Ventilated Seats,Turbo,Ambient Lighting,Lane Assist",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1123492.jpg,The 2025 BMW X5 is a premium vehicle perfect for daily commute.
V00066,Kia,Model 7,2022,182579,"AWD,Rear Camera,Air Suspension,Sport Mode,Lane Assist,Navigation,Parking Sensors,Keyless Entry,Turbo",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4354852.jpg,The 2022 Kia Model 7 is a sporty vehicle perfect for long trips.
V00067,Jaguar,Model 2,2025,227343,"Wireless Charging,Sport Mode,Rear Camera,Air Suspension,Bluetooth,Premium Sound,Navigation,Cruise Control,Ventilated Seats,V6 Engine,Heated Seats,Eco Mode,4WD,Keyless Entry,Adaptive Cruise",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9800942.jpg,The 2025 Jaguar Model 2 is a reliable vehicle perfect for off-road adventures.
V00068,Jaguar,Model 6,2025,219222,"Cruise Control,Push Start,Electric,4WD,Leather Seats,Wireless Charging,Hybrid,360 Camera,Apple CarPlay,LED Headlights,Air Suspension,Keyless Entry,Eco Mode",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-5912043.jpg,The 2025 Jaguar Model 6 is a luxury vehicle perfect for city driving.
V00069,Subaru,Model 1,2020,136326,"Panoramic Roof,Heated Seats,Navigation,Premium Sound,Turbo,Cruise Control,AWD,V6 Engine",7,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8572837.jpg,The 2020 Subaru Model 1 is a sporty vehicle perfect for off-road adventures.
V00070,BMW,X7,2022,309937,"Ambient Lighting,Electric,Blind Spot Monitor,Rear Camera,Adaptive Cruise,Eco Mode,7 Seater,Power Tailgate,Lane Assist,Premium Sound,360 Camera,Automatic Parking",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4137521.jpg,The 2022 BMW X7 is a reliable vehicle perfect for city driving.
V00071,Mitsubishi,Model 2,2025,162135,"Leather Seats,Blind Spot Monitor,Turbo,AWD,Power Tailgate,Rear Camera",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-7128204.jpg,The 2025 Mitsubishi Model 2 is a luxury vehicle perfect for city driving.
V00072,Mazda,Model 3,2025,252761,"Parking Sensors,AWD,7 Seater,Android Auto,Heated Seats,Sunroof,Sport Mode,Automatic Parking,Electric,Power Tailgate,Adaptive Cruise,Air Suspension,Eco Mode",9,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2551789.jpg,The 2025 Mazda Model 3 is a family-friendly vehicle perfect for daily commute.
V00073,Mitsubishi,Model 3,2022,100190,"Bluetooth,Wireless Charging,4WD,Sunroof,Premium Sound,Power Tailgate,Sport Mode,AWD,Turbo,Hybrid,Keyless Entry,Automatic Parking,Ventilated Seats,V8 Engine",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6622010.jpg,The 2022 Mitsubishi Model 3 is a premium vehicle perfect for long trips.
V00074,Mercedes,C-Class,2020,351785,"V8 Engine,Leather Seats,Android Auto,Rear Camera,Electric,Sport Mode,Panoramic Roof,Turbo,Automatic Parking,Blind Spot Monitor,Premium Sound,Hybrid,Push Start",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8948619.jpg,The 2020 Mercedes C-Class is a luxury vehicle perfect for city driving.
V00075,Lexus,Model 8,2025,104252,"Wireless Charging,Bluetooth,Adaptive Cruise,Ambient Lighting,V8 Engine,Leather Seats,Blind Spot Monitor,Rear Camera,V6 Engine,Hybrid,Automatic Parking,Turbo",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1107688.jpg,The 2025 Lexus Model 8 is a sporty vehicle perfect for daily commute.
V00076,Mercedes,S-Class,2022,516667,"Cruise Control,Electric,V8 Engine,4WD,Parking Sensors,Rear Camera,Sport Mode,7 Seater,Power Tailgate,Automatic Parking",1,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4387603.jpg,The 2022 Mercedes S-Class is a sporty vehicle perfect for long trips.
V00077,Lexus,Model 2,2025,210345,"Blind Spot Monitor,Adaptive Cruise,360 Camera,Push Start,LED Headlights,V8 Engine,7 Seater,Ventilated Seats,Android Auto,Electric,Wireless Charging",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-9469982.jpg,The 2025 Lexus Model 2 is a family-friendly vehicle perfect for city driving.
V00078,Audi,Q7,2025,556526,"Bluetooth,Turbo,Lane Assist,Navigation,Premium Sound,Hybrid,V8 Engine,7 Seater",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-6871190.jpg,The 2025 Audi Q7 is a family-friendly vehicle perfect for off-road adventures.
V00079,Lexus,Model 8,2025,263811,"Parking Sensors,V6 Engine,Navigation,Blind Spot Monitor,Leather Seats,Ventilated Seats,V8 Engine,AWD,Wireless Charging,LED Headlights,Apple CarPlay,Lane Assist,Push Start,4WD,Keyless Entry",0,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1346860.jpg,The 2025 Lexus Model 8 is a luxury vehicle perfect for city driving.
V00080,Chevrolet,Model 3,2022,56054,"Ventilated Seats,7 Seater,Keyless Entry,Electric,AWD,Turbo,Rear Camera,Automatic Parking,Heated Seats,Sport Mode,Android Auto,4WD,Air Suspension",10,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-2909560.jpg,The 2022 Chevrolet Model 3 is a sporty vehicle perfect for city driving.
V00081,Volvo,Model 1,2023,256601,"Blind Spot Monitor,Lane Assist,Apple CarPlay,Hybrid,4WD,Air Suspension,Rear Camera,Ambient Lighting,Android Auto,LED Headlights,Adaptive Cruise,Leather Seats,Turbo,Eco Mode",3,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-4903131.jpg,The 2023 Volvo Model 1 is a luxury vehicle perfect for daily commute.
V00082,Honda,Odyssey,2024,201078,"Parking Sensors,Ambient Lighting,4WD,7 Seater,Electric,Turbo,Air Suspension,Premium Sound",5,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-3470276.jpg,The 2024 Honda Odyssey is a premium vehicle perfect for city driving.
V00083,Mazda,Model 8,2025,298859,"Sunroof,Heated Seats,Wireless Charging,Apple CarPlay,Hybrid,Automatic Parking,Push Start,Eco Mode,Cruise Control",2,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-8711584.jpg,The 2025 Mazda Model 8 is a luxury vehicle perfect for daily commute.
V00084,Land Rover,Evoque,2023,336736,"Parking Sensors,Push Start,4WD,Lane Assist,Heated Seats,Apple CarPlay,V6 Engine,Eco Mode,Bluetooth,Android Auto",6,https://cdn.pixabay.com/photo/2016/11/18/14/39/car-1515900.jpg,The 2023 Land Rover Evoque is a luxury vehicle perfect for off-road adventures.
